time,r104_room_temp,r104_thermostat_outside_temp,r104_supply_discharge_temp,r104_airflow_current,r104_damper_position,output
2021-07-27 12-14-00,70,75.53333333,67.32666779,272.6666667,39.89473724,71.90000153
2021-07-27 12-29-00,71.90000153,76.33333333,73.1866684,292.3333333,40.31578827,70.80000305
2021-07-27 12-44-00,70.80000305,77.2,69.20000204,292,38.08421046,70.30000305
2021-07-27 12-59-00,70.30000305,78.53333333,66.4466685,265.0666667,34.71579081,70.70000458
2021-07-27 13-14-00,70.70000458,79.66666667,67.81333516,235.2,53.53684209,70.80000305
2021-07-27 13-29-00,70.80000305,79.2,67.80666809,295.8666667,49.8736852,72.30000305
2021-07-27 13-44-00,72.30000305,79.93333333,72.0066686,304.0666667,44.56842092,72.5
2021-07-27 13-59-00,72.5,80.8,73.6266688,298,37.1157903,74.59999847
2021-07-27 14-14-00,74.59999847,81.66666667,82.46000265,281.8666667,36.5263176,73.90000153
2021-07-27 14-29-00,73.90000153,82.4,75.26000163,254.8666667,38.21052729,72.70000458
2021-07-27 14-44-00,72.70000458,82.86666667,71.39333445,254.3333333,42.37894745,72.80000305
2021-07-27 14-59-00,72.80000305,82.06666667,71.38666789,253.4666667,49.07368418,74.30000305
2021-07-27 15-14-00,74.30000305,82,75.40000051,301.5333333,51.30526301,73.90000153
2021-07-27 15-29-00,73.90000153,82.06666667,73.8866684,256.8,48.98947372,72.70000458
2021-07-27 15-44-00,72.70000458,82.13333333,70.47333578,288.9333333,48.2736852,72
2021-07-27 15-59-00,72,81.73333333,67.35333455,310.0666667,43.01052679,71.70000458
2021-07-27 16-14-00,71.70000458,82.93333333,66.25333455,275.8,37.74736913,71.40000153
2021-07-27 16-29-00,71.40000153,82.73333333,66.00666707,294,35.9368426,71.5
2021-07-27 16-44-00,71.5,83.13333333,66.66000061,246.8,38.63157933,71.70000458
2021-07-27 16-59-00,71.70000458,83,68.27333527,289.9333333,48.06315765,71.40000153
2021-07-27 17-14-00,71.40000153,83,66.41333466,304.1333333,38.04210663,71.30000305
2021-07-27 17-29-00,71.30000305,83,65.93333435,259.4666667,37.70526378,71.09999847
2021-07-27 17-44-00,71.09999847,82,65.85333557,261,39.47368495,71
2021-07-27 17-59-00,71,80.13333333,65.87333527,264.8,39.68421173,70.90000153
2021-07-27 18-14-00,70.90000153,78.53333333,65.81333517,263.1333333,39.68421173,70.90000153
2021-07-27 18-29-00,70.90000153,77.2,65.7666687,269.5333333,40.18947296,71.59999847
2021-07-27 18-44-00,71.59999847,76.33333333,69.36666819,124.6666667,78.80701701,72.70000458
2021-07-27 18-59-00,72.70000458,74.86666667,72.72666779,317.6666667,84.29473572,72.70000458
2021-07-27 19-14-00,72.70000458,73.53333333,72.50000254,287.0666667,78.49824575,72.80000305
2021-07-27 19-29-00,72.80000305,72.53333333,72.32000173,295.6666667,43.48772023,74.80000305
2021-07-27 19-44-00,74.80000305,72,79.35333455,252.6666667,50.71578929,73.90000153
2021-07-27 19-59-00,73.90000153,71.26666667,73.81333516,302.0666667,48.27368469,72.70000458
2021-07-27 20-14-00,72.70000458,70.73333333,70.7,225.6666667,54.16842066,72.80000305
2021-07-27 20-29-00,72.80000305,69.93333333,71.04000193,153.0666667,90.3228068,71.70000458
2021-07-27 20-44-00,71.70000458,69,68.62000173,317.9333333,43.73333384,71.20000458
2021-07-27 20-59-00,71.20000458,68.13333333,66.02000173,258.9333333,39.43157857,70.90000153
2021-07-27 21-14-00,70.90000153,69,65.54000092,299.4,39.2210528,70.70000458
2021-07-27 21-29-00,70.70000458,69,65.64000193,286.6,36.14736812,70.5
2021-07-27 21-44-00,70.5,69,65.24000244,259.1333333,37.49473674,70.40000153
2021-07-27 21-59-00,70.40000153,69,64.92000071,256.7333333,39.59999974,71
2021-07-27 22-14-00,71,69,68.63333486,115.0666667,79.8596494,72.40000153
2021-07-27 22-29-00,72.40000153,68.8,72.04000193,328,76.7157903,71.90000153
2021-07-27 22-44-00,71.90000153,68,71.22666829,164.6666667,80.82806956,72.40000153
2021-07-27 22-59-00,72.40000153,67.46666667,71.06000163,333.4,77.19298172,70.90000153
2021-07-27 23-14-00,70.90000153,66.4,67.7266688,317.4,43.45964864,70.5
2021-07-27 23-29-00,70.5,66,64.77333476,284,36.82105229,71.90000153
2021-07-27 23-44-00,71.90000153,66,70.57333527,245.5333333,41.66315791,72.40000153
2021-07-27 23-59-00,72.40000153,65.2,72.83333486,248.3333333,52.48421097,74.09999847
2021-07-28 00-14-00,74.09999847,65,89.66000163,165.4666667,81.11578954,74.09999847
2021-07-28 00-29-00,74.09999847,65,79.0466685,304.4,82.77192993,72.90000153
2021-07-28 00-44-00,72.90000153,64.13333333,71.3866684,247.5333333,65.81052678,73.30000305
2021-07-28 00-59-00,73.30000305,65,72.9266683,326.5333333,46.23157933,72
2021-07-28 01-14-00,72,64.33333333,69.38666789,250.8666667,47.47368418,71.5
2021-07-28 01-29-00,71.5,64,67.64000244,296.6666667,48.7368426,75.40000153
2021-07-28 01-44-00,75.40000153,64,91.52666829,249.8666667,47.97894745,73.80000305
2021-07-28 01-59-00,73.80000305,64,72.11333415,300.2666667,49.32631607,73.30000305
2021-07-28 02-14-00,73.30000305,64,72.56000163,255,49.45263112,73.09999847
2021-07-28 02-29-00,73.09999847,64,71.6866684,309.3333333,52.98947398,72.90000153
2021-07-28 02-44-00,72.90000153,64,72.47333578,257.1333333,45.1157898,72.5
2021-07-28 02-59-00,72.5,63.6,71.0866689,291.2666667,53.2421051,71.5
2021-07-28 03-14-00,71.5,63.73333333,68.3866684,301.4,35.17894745,70.80000305
2021-07-28 03-29-00,70.80000305,64,65.06666819,265.2,34,71.80000305
2021-07-28 03-44-00,71.80000305,64,69.04000244,236,45.23508784,73
2021-07-28 03-59-00,73,64,73.55333557,217.4666667,64.02105255,72.59999847
2021-07-28 04-14-00,72.59999847,64.73333333,73.05333404,191.7333333,97.45263214,72.70000458
2021-07-28 04-29-00,72.70000458,65,71.29333496,288.8,69.95789388,71.70000458
2021-07-28 04-44-00,71.70000458,65,70.44000142,187.6666667,97.26315765,71.70000458
2021-07-28 04-59-00,71.70000458,64.06666667,68.65333455,321.6,62.68771896,70.90000153
2021-07-28 05-14-00,70.90000153,64,66.79333496,316.5333333,53.88771897,70.30000305
2021-07-28 05-29-00,70.30000305,64,64.10666733,260.8666667,38.31578903,73
2021-07-28 05-44-00,73,64,74.14666824,239.6666667,69.95087687,73.40000153
2021-07-28 05-59-00,73.40000153,64,73.82000122,290.2,44.37192993,71.20000458
2021-07-28 06-14-00,71.20000458,64,69.40666809,299.8666667,38.16842245,70.40000153
2021-07-28 06-29-00,70.40000153,64,64.70000051,276.5333333,36.5263176,71
2021-07-28 06-44-00,71,64,67.96000163,233,49.45263214,72
2021-07-28 06-59-00,72,64,71.38000183,301.6666667,49.71929931,71.59999847
2021-07-28 07-14-00,71.59999847,64.66666667,70.57333476,240.7333333,55.34736811,72.20000458
2021-07-28 07-29-00,72.20000458,65,71.50666809,155.4666667,86.55438639,70.80000305
2021-07-28 07-44-00,70.80000305,65.4,67.56666768,316.6666667,49.60701853,70.59999847
2021-07-28 07-59-00,70.59999847,66,65.84666952,260,39.91578827,72.5
2021-07-28 08-14-00,72.5,66.4,71.7266683,244.0666667,68.20350901,72.70000458
2021-07-28 08-29-00,72.70000458,67,73.74000091,282.7333333,46.4210523,71.90000153
2021-07-28 08-44-00,71.90000153,67.66666667,70.24666748,251.7333333,53.91578954,71.5
2021-07-28 08-59-00,71.5,68.13333333,68.51333415,304.5333333,51.59999975,71.20000458
2021-07-28 09-14-00,71.20000458,69,67.40000254,302,44.23157883,71
2021-07-28 09-29-00,71,69.73333333,66.02666728,293.4,38.12631607,71.70000458
2021-07-28 09-44-00,71.70000458,70.86666667,68.5066686,246.0666667,48.10526403,73
2021-07-28 09-59-00,73,71.4,73.28000081,265.1333333,51.13684311,72.80000305
2021-07-28 10-14-00,72.80000305,72,72.46000163,229.4666667,62.29473673,73
2021-07-28 10-29-00,73,72,72.6266688,166.0666667,95.8807017,72.40000153
2021-07-28 10-44-00,72.40000153,72,68.2666687,375.6666667,67.70526225,71.90000153
2021-07-28 10-59-00,71.90000153,72.8,66.4266688,302,34.90526276,72.20000458
2021-07-28 11-14-00,72.20000458,73.66666667,68.44666901,239.6,43.83157883,72
2021-07-28 11-29-00,72,75.13333333,68.48666789,292.3333333,50.23157883,74.40000153
2021-07-28 11-44-00,74.40000153,76,75.95333455,248.4666667,47.87368418,74.09999847
2021-07-28 11-59-00,74.09999847,76,74.32000173,198.4,72,72.80000305
2021-07-28 12-14-00,72.80000305,77.4,69.82666829,318.4,52.25263087,72.09999847
2021-07-28 12-29-00,72.09999847,78.6,66.60000305,291.7333333,35.51578776,72.70000458
