time,r104_room_temp,r104_thermostat_outside_temp,r104_supply_discharge_temp,r104_airflow_current,r104_damper_position,output
2021-07-27 12-29-00,71.90000153,76.33333333,73.1866684,292.3333333,40.31578827,70.80000305
2021-07-27 12-44-00,70.80000305,77.2,69.20000204,292.0,38.08421046,70.30000305
2021-07-27 13-29-00,70.80000305,79.2,67.80666809,295.8666667,49.8736852,72.30000305
2021-07-27 13-44-00,72.30000305,79.93333333,72.0066686,304.0666667,44.56842092,72.5
2021-07-27 13-59-00,72.5,80.8,73.6266688,298.0,37.1157903,74.59999847
2021-07-27 14-14-00,74.59999847,81.66666667,82.46000265,281.8666667,36.5263176,73.90000153
2021-07-27 15-14-00,74.30000305,82.0,75.40000051,301.5333333,51.30526301,73.90000153
2021-07-27 15-44-00,72.70000458,82.13333333,70.47333578,288.9333333,48.2736852,72.0
2021-07-27 15-59-00,72.0,81.73333333,67.35333455,310.0666667,43.01052679,71.70000458
2021-07-27 16-29-00,71.40000153,82.73333333,66.00666707,294.0,35.9368426,71.5
2021-07-27 16-59-00,71.70000458,83.0,68.27333527,289.9333333,48.06315765,71.40000153
2021-07-27 17-14-00,71.40000153,83.0,66.41333466,304.1333333,38.04210663,71.30000305
2021-07-27 18-59-00,72.70000458,74.86666667,72.72666779,317.6666667,84.29473572,72.70000458
2021-07-27 19-14-00,72.70000458,73.53333333,72.50000254,287.0666667,78.49824575,72.80000305
2021-07-27 19-29-00,72.80000305,72.53333333,72.32000173,295.6666667,43.48772023,74.80000305
2021-07-27 19-59-00,73.90000153,71.26666667,73.81333516,302.0666667,48.27368469,72.70000458
2021-07-27 20-44-00,71.70000458,69.0,68.62000173,317.9333333,43.73333384,71.20000458
2021-07-27 21-14-00,70.90000153,69.0,65.54000092,299.4,39.2210528,70.70000458
2021-07-27 21-29-00,70.70000458,69.0,65.64000193,286.6,36.14736812,70.5
2021-07-27 22-29-00,72.40000153,68.8,72.04000193,328.0,76.7157903,71.90000153
2021-07-27 22-59-00,72.40000153,67.46666667,71.06000163,333.4,77.19298172,70.90000153
2021-07-27 23-14-00,70.90000153,66.4,67.7266688,317.4,43.45964864,70.5
2021-07-27 23-29-00,70.5,66.0,64.77333476,284.0,36.82105229,71.90000153
2021-07-28 00-29-00,74.09999847,65.0,79.0466685,304.4,82.77192993,72.90000153
2021-07-28 00-59-00,73.30000305,65.0,72.9266683,326.5333333,46.23157933,72.0
2021-07-28 01-29-00,71.5,64.0,67.64000244,296.6666667,48.7368426,75.40000153
2021-07-28 01-59-00,73.80000305,64.0,72.11333415,300.2666667,49.32631607,73.30000305
2021-07-28 02-29-00,73.09999847,64.0,71.6866684,309.3333333,52.98947398,72.90000153
2021-07-28 02-59-00,72.5,63.6,71.0866689,291.2666667,53.2421051,71.5
2021-07-28 03-14-00,71.5,63.73333333,68.3866684,301.4,35.17894745,70.80000305
2021-07-28 04-29-00,72.70000458,65.0,71.29333496,288.8,69.95789388,71.70000458
2021-07-28 04-59-00,71.70000458,64.06666667,68.65333455,321.6,62.68771896,70.90000153
2021-07-28 05-14-00,70.90000153,64.0,66.79333496,316.5333333,53.88771897,70.30000305
2021-07-28 05-59-00,73.40000153,64.0,73.82000122,290.2,44.37192993,71.20000458
2021-07-28 06-14-00,71.20000458,64.0,69.40666809,299.8666667,38.16842245,70.40000153
2021-07-28 06-59-00,72.0,64.0,71.38000183,301.6666667,49.71929931,71.59999847
2021-07-28 07-44-00,70.80000305,65.4,67.56666768,316.6666667,49.60701853,70.59999847
2021-07-28 08-29-00,72.70000458,67.0,73.74000091,282.7333333,46.4210523,71.90000153
2021-07-28 08-59-00,71.5,68.13333333,68.51333415,304.5333333,51.59999975,71.20000458
2021-07-28 09-14-00,71.20000458,69.0,67.40000254,302.0,44.23157883,71.0
2021-07-28 09-29-00,71.0,69.73333333,66.02666728,293.4,38.12631607,71.70000458
2021-07-28 10-44-00,72.40000153,72.0,68.2666687,375.6666667,67.70526225,71.90000153
2021-07-28 10-59-00,71.90000153,72.8,66.4266688,302.0,34.90526276,72.20000458
2021-07-28 11-29-00,72.0,75.13333333,68.48666789,292.3333333,50.23157883,74.40000153
2021-07-28 12-14-00,72.80000305,77.4,69.82666829,318.4,52.25263087,72.09999847
2021-07-28 12-29-00,72.09999847,78.6,66.60000305,291.7333333,35.51578776,72.70000458
2021-07-28 13-59-00,72.20000458,78.8,68.73333435,328.6666667,81.19298248,72.59999847
